Media,ITS Condition,A2P,TF,WST-8
0,0,0,0,0.362
0,0,0,0,0.386
0,0,0,0,0.333
0,0,0,0,0.504833333
0,0,0,0,0.491833333
0,0,0,0,0.492833333
1,0,0,0,0.065
1,0,0,0,0.081
1,0,0,0,0.064
1,0,0,0,0.061
1,0,0,0,0.106
1,0,0,0,0.086
1,1,0,0,0.158
1,1,0,0,0.159
1,1,0,0,0.172
1,1,0,0,0.163
1,1,0,0,0.176
1,1,0,0,0.168
1,1,1,0,0.193
1,1,1,0,0.224
1,1,1,0,0.212
1,1,1,0,0.219
1,1,1,0,0.274
1,1,1,0,0.192
1,1,0,1,0.106
1,1,0,1,0.095
1,1,0,1,0.127
1,1,0,1,0.146
1,1,0,1,0.136
1,1,0,1,0.12
1,2,0,0,0.085
1,2,0,0,0.069
1,2,0,0,0.082
1,2,0,0,0.103
1,2,0,0,0.09
1,2,0,0,0.08
1,2,1,0,0.182
1,2,1,0,0.177
1,2,1,0,0.215
1,2,1,0,0.187
1,2,1,0,0.193
1,2,1,0,0.209
1,2,0,1,0.068
1,2,0,1,0.077
1,2,0,1,0.08
1,2,0,1,0.107
1,2,0,1,0.118
1,2,0,1,0.107
0,0,0,0,0.49
0,0,0,0,0.38
0,0,0,0,0.4
1,0,0,0,0.157
1,0,0,0,0.147
1,0,0,0,0.177
1,0,1,0,0.377
1,0,1,0,0.287
1,0,1,0,0.317
1,0,0,1,0.147
1,0,0,1,0.157
1,0,0,1,0.127
1,1,0,0,0.147
1,1,0,0,0.157
1,1,0,0,0.137
1,1,1,0,0.317
1,1,1,0,0.377
1,1,1,0,0.377
1,1,0,1,0.087
1,1,0,1,0.117
1,1,0,1,0.137
